"id_Filme"	"Titulo"	"director"	"cast"	"country"	"data_lancamento"	"Classificacao_indicativa"	"Duracao_min"	"Sinopse"	"listed_in"
"3468"	"Maya Memsaab"	"Ketan Mehta"	"Deepa Sahi, Farooq Shaikh, Raj Babbar, Shah Rukh Khan, Shreeram Lagoo, Sudha Shivpuri, Paresh Rawal, Raghuvir Yadav, Satyadev Dubey"	"France, United Kingdom, India"	"1993"	"TV-14"	"122 min"	"A beautiful, wealthy woman’s insatiable appetite for romance leads to tragedy and a police investigation."	"Dramas, Filmes Internacionais, Musicais"
"3469"	"Michael Lost and Found"	"Daniel Wilner"		"Canada, United States"	"2017"	"TV-PG"	"19 min"	"Benjie Nycum travels to Wyoming to visit his ex-lover, Michael Glatze, a former gay activist who now lives with his wife and works as a church pastor."	"Documentarios, Filmes Internacionais, Filmes LGBTQ"
"3470"	"Oh Darling Yeh Hai India"	"Ketan Mehta"	"Shah Rukh Khan, Deepa Sahi, Javed Jaffrey, Anupam Kher, Amrish Puri, Tom Alter, Tinnu Anand, Sadashiv Amrapurkar, Tiku Talsania, Kader Khan"	"India"	"1995"	"TV-14"	"154 min"	"A penniless actor new to Mumbai and a beautiful woman he meets one fateful night try to stop a gangster from replacing India's president with a twin."	"Ação e Aventura, Comedias, Filmes Internacionais"
"3471"	"Prince"	"Lekh Tandon"	"Shammi Kapoor, Vyjayantimala, Rajendra Nath, Ajit, Helen, Leela Chitnis, Parveen Choudhary, Sudhir, Sunder, Rashid Khan"	"India"	"1969"	"TV-PG"	"152 min"	"To better himself, a spoiled prince temporarily assumes a commoner’s identity. But he soon learns his palace has been gifted to his father’s new wife."	"Dramas, Filmes Internacionais, Romantic Movies"
"3472"	"Qila"	"Umesh Mehra"	"Dilip Kumar, Mukul Dev, Rekha, Mamta Kulkarni, Smita Jaykar, Gulshan Grover"	"India"	"1998"	"TV-14"	"161 min"	"When an abusive landowner is murdered, his twin brother sets out to find the killer but quickly discovers that everyone, it seems, wanted him dead."	"Dramas, Filmes Internacionais"
"3473"	"Smoke & Mirrors"	"Alberto Rodríguez"	"Eduard Fernández, José Coronado, Marta Etura, Carlos Santos, Enric Benavent, Philippe Rebbot, Israel Elejalde, Tomás del Estal, Emilio Gutiérrez Caba"	"Spain"	"2016"	"TV-14"	"123 min"	"Betrayed by the Spanish government he once served, a former secret agent plots to steal millions of dollars embezzled by a corrupt public official."	"Dramas, Filmes Internacionais, Thrillers"
"3474"	"The Mitfords: A Tale of Two Sisters"	"Edward Cotterill"	"Rachael Stirling"	"United Kingdom"	"2017"	"TV-PG"	"44 min"	"Jessica and Diana were sisters who were separated by just a few years in age. But their political ideologies couldn't have been any farther apart."	"Documentarios"
"3475"	"Without Gorky"	"Cosima Spender"		"United Kingdom"	"2011"	"TV-14"	"80 min"	"A filmmaker trains the camera on her own family as she examines the impact her grandfather, troubled artist Arshile Gorky, had on three generations."	"Documentarios"
"3476"	"Sarah Silverman A Speck of Dust"	"Liam Lynch"	"Sarah Silverman"	"United States"	"2017"	"TV-MA"	"71 min"	"In her first comedy special post-health scare, Sarah Silverman shares a mix of fun facts, sad truths and yeah-she-just-went-there moments."	"Stand-Up Comedy"
"3477"	"Rangoon"	"Vishal Bhardwaj"	"Saif Ali Khan, Shahid Kapoor, Kangana Ranaut, Shriswara, Richard McCabe, Satoru Kawaguchi, Surendra Pal, Lin Laishram"	"India"	"2017"	"TV-14"	"153 min"	"During World War II, daredevil star Miss Julia entertains soldiers at the Indo-Burma border, where she's caught up in a web of love and deceit."	"Ação e Aventura, Dramas, Filmes Internacionais"
"3478"	"Joshua: Teenager vs. Superpower"	"Joe Piscatella"		"United States"	"2017"	"TV-14"	"79 min"	"Mobilized by teenage activist Joshua Wong, young citizens of Hong Kong take to the streets in a bid to preserve their history of autonomy from China."	"Documentarios"
"3479"	"Raees"	"Rahul Dholakia"	"Shah Rukh Khan, Mahira Khan, Nawazuddin Siddiqui, Mohammed Zeeshan Ayyub, Sheeba Chaddha, Shubham Chintamani, Shubham Tukaram, Atul Kulkarni, Narendra Jha, Jaideep Ahlawat, Sunny Leone"	"India"	"2017"	"TV-14"	"143 min"	"After street smart kid Raees rises to become Gujarat's bootlegging king in the 1980s, he tries to balance his life of crime with helping his people."	"Ação e Aventura, Dramas, Filmes Internacionais"
"3480"	"War Machine"	"David Michôd"	"Brad Pitt, Topher Grace, Emory Cohen, John Magaro, Scoot McNairy, Anthony Michael Hall, Will Poulter"	"United States"	"2017"	"TV-MA"	"123 min"	"When a proud general is tasked with winning an unpopular war, he takes the challenge head-on, not knowing that hubris may be his own worst enemy."	"Comedias, Dramas"
"3481"	"Arès"	"Jean-Patrick Benes"	"Ola Rapace, Micha Lescot, Thierry Hancisse, Hélène Fillières, Ruth Vega Fernandez, Louis-Do de Lencquesaing, Eva Lallier, Emilie Gavois-Kahn"	"France"	"2016"	"TV-MA"	"80 min"	"A futuristic France tries to keep its people from despair and rebellion over crippling poverty by engaging them with a violent TV competition show."	"Ação e Aventura, Filmes Internacionais, Sci-Fi & Fantasia"
"3482"	"Hasan Minhaj: Homecoming King"	"Christopher Storer"	"Hasan Minhaj"		"2017"	"TV-MA"	"73 min"	"Comic Hasan Minhaj of ""The Daily Show"" shares personal stories about racism, immigrant parents, prom night horrors and more in this stand-up special."	"Stand-Up Comedy"
"3483"	"BLAME!"	"Hiroyuki Seshita"	"Takahiro Sakurai, Kana Hanazawa, Sora Amamiya, Kazuhiro Yamaji, Mamoru Miyano, Aya Suzaki, Nobunaga Shimazaki, Yuki Kaji, Aki Toyosaki, Saori Hayami"	"Japan"	"2017"	"TV-14"	"106 min"	"Inside a vast, self-replicating city bent on eliminating all life, mysterious loner Killy emerges to guide a remnant of humanity desperate to survive."	"Ação e Aventura, Animações, Filmes Internacionais"
"3484"	"Laerte-se"	"Lygia Barbosa da Silva, Eliane Brum"	"Laerte Coutinho"	"Brazil"	"2017"	"TV-MA"	"101 min"	"After living as a man for nearly 60 years, Laerte Coutinho, one of Brazil's most brilliant cartoonists, introduces herself to the world as a woman."	"Documentarios, Filmes Internacionais, Filmes LGBTQ"
"3485"	"Tracy Morgan: Staying Alive"	"Ryan Polito"	"Tracy Morgan"	"United States"	"2017"	"TV-MA"	"59 min"	"In his first special since his serious car accident, Tracy Morgan cracks jokes about life in a coma, his second marriage and his family's dark side."	"Stand-Up Comedy"
"3486"	"Chamatkar"	"Rajiv Mehra"	"Shah Rukh Khan, Naseeruddin Shah, Urmila Matondkar, Malvika Tiwari, Shammi Kapoor, Deven Verma, Tinnu Anand, Anjana Mumtaz, Anjan Srivastav, Rakesh Bedi"	"India"	"1992"	"TV-14"	"164 min"	"A village schoolteacher and the ghost of a murdered man, who were both betrayed by those closest to them, join forces to help each other."	"Comedias, Filmes Internacionais, Sci-Fi & Fantasia"
"3487"	"Kabhi Haan Kabhi Naa"	"Kundan Shah"	"Shah Rukh Khan, Suchitra Krishnamoorthi, Deepak Tijori, Rita Bhaduri, Satish Shah, Anjan Srivastav, Goga Kapoor, Tiku Talsania, Ravi Baswani, Naseeruddin Shah"	"India"	"1994"	"TV-14"	"151 min"	"A dreamer falls for a girl who is in love with someone else and tries to create a rift between her and the man she loves."	"Comedias, Dramas, Filmes Internacionais"
"3488"	"Lovesong"	"So Yong Kim"	"Jena Malone, Riley Keough, Brooklyn Decker, Amy Seimetz, Ryan Eggold, Rosanna Arquette, Cary Joji Fukunaga, Marshall Chapman, Neal Huff"	"United States"	"2016"	"TV-MA"	"84 min"	"Best friends Sarah and Mindy share an unexpected moment while on a road trip. Years later, the two struggle to reconnect before a wedding."	"Dramas, Filmes Independentes, Romantic Movies"
"3489"	"Ram Jaane"	"Rajiv Mehra"	"Shah Rukh Khan, Juhi Chawla, Vivek Mushran, Pankaj Kapur, Puneet Issar, Tinnu Anand, Deven Verma, Gulshan Grover, Amrit Pal, Arun Bali"	"India"	"1995"	"TV-14"	"142 min"	"Two boyhood pals – one righteous, the other a criminal – take very different paths to adulthood. Their love for the same woman may prove disastrous."	"Dramas, Filmes Internacionais, Musicais"
"3490"	"The Devil's Mistress"	"Filip Renc"	"Tatiana Pauhofová, Karl Markovics, Gedeon Burkhard, Simona Stasová, Martin Huba, Pavel Kríz, Zdenka Procházková, Anna Fialová, Lenka Vlasáková, Jirí Mádl"	"Czech Republic, Slovakia"	"2016"	"TV-MA"	"110 min"	"Before the dawn of World War II, an ambitious actress pursues her dreams in Berlin. But her plans derail when she becomes Joseph Goebbels’ mistress."	"Dramas, Filmes Internacionais"
"3491"	"Wild Oats"	"Andy Tennant"	"Shirley MacLaine, Jessica Lange, Billy Connolly, Santiago Segura, Howard Hesseman, Matt Walsh, Jay Hayden, Rebecca Da Costa, Demi Moore"	"Germany, United States"	"2016"	"PG-13"	"86 min"	"When insurance accidentally pays her millions, retired teacher Eva and her pal Maddie head to the Canary Islands for the adventure of their lives."	"Comedias"
"3492"	"Get Me Roger Stone"	"Dylan Bank, Daniel DiMauro, Morgan Pehme"	"Roger Stone"	"United States"	"2017"	"TV-MA"	"101 min"	"Examine the rise, fall and rebirth of political operative Roger Stone, who's been an influential member of Team Trump for decades."	"Documentarios"
"3493"	"Mindhorn"	"Sean Foley"	"Julian Barratt, Andrea Riseborough, Essie Davis, Russell Tovey, Simon Farnaby, Steve Coogan, Richard McCabe, David Schofield, Nicholas Farrell, Jessica Barden"	"United Kingdom"	"2017"	"TV-MA"	"88 min"	"When a twisted killer tells the police he'll only speak to a fictional 1980s TV detective, the washed-up actor who played him takes the gig."	"Comedias, Cult, Filmes Independentes"
"3494"	"Sahara"	"Pierre Coré"	"Robert Naylor, Angela Galuppo, Daniel Brochu, Mark Hauser, Andrew Shaver, Mathew Mackay, Richard Dumont, Brady Moffatt, Rick Jones, Nadia Verrucci, Sonja Ball"	"France, Canada"	"2017"	"TV-Y7"	"86 min"	"When his new love is captured by an evil snake charmer, a young cobra and his scorpion best friend set out across the desert on a wild rescue mission."	"Filmes familiares e infantis"
"3495"	"Norm Macdonald: Hitler's Dog, Gossip & Trickery"	"Liz Plonka"	"Norm MacDonald"	"United States"	"2017"	"TV-MA"	"61 min"	"In this new stand-up special, Norm Macdonald delivers sly, deadpan observations from an older – and perhaps even wiser – point of view."	"Stand-Up Comedy"
"3496"	"Handsome: A Netflix Mystery Movie"	"Jeff Garlin"	"Jeff Garlin, Natasha Lyonne, Amy Sedaris, Steven Weber, Christine Woods, Eddie Pepitone, Timm Sharp, Brad Morris, Leah Remini, Ava Acres"	"United States"	"2017"	"TV-MA"	"81 min"	"Homicide detective Gene Handsome sets out to solve a woman's murder while searching for clues about what's missing from his personal life."	"Comedias"
"3497"	"Simplemente Manu NNa"	"Jan Suter, Raúl Campos"	"Manu NNa"	"Mexico"	"2017"	"TV-MA"	"72 min"	"Eclectic stand-up comic Manu NNa relays everyday tales about the struggles of being gay in Mexico and shares his love of telenovelas and mezcal."	"Stand-Up Comedy"
"3498"	"The Mars Generation"	"Michael Barnett"	"Neil deGrasse Tyson, Bill Nye, Michio Kaku"	"United States"	"2017"	"TV-PG"	"98 min"	"Self-professed teenage ""space nerds"" at Space Camp chase their dreams of traveling to Mars, while experts reflect on NASA's history and future."	"Filmes familiares e infantis, Documentarios"
"3499"	"Maria Bamford: Old Baby"	"Jessica Yu"	"Maria Bamford"	"United States"	"2017"	"TV-MA"	"64 min"	"Maria Bamford performs a rapid-fire, playful stand-up set for crowds at park benches, bowling alleys and LA theaters in this roving comedy special."	"Stand-Up Comedy"
"3500"	"A Yellow Bird"	"K. Rajagopal"	"Sivakumar Palakrishnan, Huang Lu, Seema Biswas, Udaya Soundari, Nithiyia Rao, Indra Chandran"	"Singapore, France"	"2016"	"TV-MA"	"111 min"	"In Singapore, a homeless ex-convict hoping to reunite with his family forms a bond with a Chinese sex worker while serving as her bodyguard."	"Dramas, Filmes Independentes, Filmes Internacionais"
"3501"	"Chaahat"	"Mahesh Bhatt"	"Naseeruddin Shah, Shah Rukh Khan, Pooja Bhatt, Anupam Kher, Ramya Krishnan, Avtar Gill, Mushtaq Khan"	"India"	"1996"	"TV-14"	"148 min"	"A vulnerable singer is forced to choose between the girl he loves and another who has developed an unhealthy obsession with him."	"Dramas, Filmes Internacionais, Romantic Movies"
"3502"	"English Babu Desi Mem"	"Praveen Nischol"	"Shah Rukh Khan, Sonali Bendre, Rajeshwari, Saeed Jaffrey, Kiran Kumar, Baba Brahmbhatt, Ishita Haria, Sunny Singh, Gulshan Bawra"	"India"	"1996"	"TV-14"	"163 min"	"After his brother dies, wealthy Vikram reluctantly returns to India and forms a surprise bond with his orphaned nephew and the showgirl raising him."	"Comedias, Dramas, Filmes Internacionais"
"3503"	"He Even Has Your Eyes"	"Lucien Jean-Baptiste"	"Lucien Jean-Baptiste, Aissa Maiga, Zabou Breitman, Vincent Elbaz, Michel Jonasz, Naidra Ayadi, Marie-Philomène Nga, Bass Dhem, Delphine Théodore"	"France, Belgium"	"2016"	"TV-MA"	"95 min"	"When French-African couple Paul and Sali discover the longed-for baby they are about to adopt is white, family chaos and confrontation ensue."	"Comedias, Filmes Internacionais"
"3504"	"In the Shadow of Iris"	"Jalil Lespert"	"Romain Duris, Charlotte Le Bon, Jalil Lespert, Camille Cottin, Adel Bencherif, Sophie Verbeeck, Hélène Barbry"	"France, Belgium"	"2016"	"TV-MA"	"99 min"	"The sudden disappearance of a wealthy banker's wife cracks open a dizzying world of secret fetishes, desperate acts and elaborate deceptions."	"Dramas, Filmes Internacionais, Thrillers"
"3505"	"JFK: The Making of a President"	"Edward Cotterill"		"United Kingdom"	"2017"	"TV-PG"	"44 min"	"Explore how John F. Kennedy's worldview was influenced by his younger years, when he endured poor health, family tragedy and a demanding father."	"Documentarios"
"3506"	"Kiss & Cry"	"Sean Cisterna"	"Sarah Fisher, Luke Bilyk, Chantal Kreviazuk, Sergio Di Zio, Denis Akiyama, Julia Tomasone, Brittany Bristow, Zoë Belkin, Lauren Esdale, Naomi Snieckus"	"Canada"	"2017"	"TV-MA"	"93 min"	"Faced with a rare form of throat cancer, teen figure skater Carley Allison finds strength in singing for an online audience in this biopic."	"Dramas, Filmes Internacionais, Romantic Movies"
"3507"	"Loev"	"Sudhanshu Saria"	"Shiv Pandit, Dhruv Ganesh, Siddharth Menon, Rishabh Chaddha"	"India"	"2015"	"TV-MA"	"89 min"	"Lives are upended when a hiking trip leads a Wall Street hotshot to explore his true feelings for an old pal who’s disenchanted with his boyfriend."	"Dramas, Filmes Independentes, Filmes Internacionais"
"3508"	"Mostly Sunny"	"Dilip Mehta"	"Sunny Leone"	"Canada"	"2016"	"TV-MA"	"83 min"	"Explore the unconventional career of Sunny Leone, who transitioned from adult film star to Bollywood actress and reality TV star."	"Documentarios, Filmes Internacionais"
"3509"	"The Next Skin"	"Isaki Lacuesta, Isa Campo"	"Àlex Monner, Emma Suárez, Sergi López, Bruno Todeschini, Igor Szpakowski, Sílvia Bel, Greta Fernández, Mikel Iglesias"	"Spain, Switzerland"	"2016"	"TV-MA"	"104 min"	"When a withdrawn, long-missing teenager reappears in a chilly alpine town, his heartbroken family begins to wonder if he's actually who he says he is."	"Dramas, Filmes Internacionais"
"3510"	"Casting JonBenet"	"Kitty Green"		"United States, Australia, China"	"2017"	"TV-14"	"81 min"	"Local actors from JonBenet Ramsey's hometown offer multiple perspectives on her 1996 murder as they vie to play roles in a dramatization of the case."	"Documentarios"
"3511"	"Rodney King"	"Spike Lee"	"Roger Guenveur Smith"	"United States"	"2017"	"TV-MA"	"53 min"	"Roger Guenveur Smith gives voice to the man at the center of the brutal police beating that helped fuel the 1992 LA riots. Spike Lee directs."	"Dramas"
"3512"	"Small Crimes"	"Evan Katz"	"Nikolaj Coster-Waldau, Gary Cole, Molly Parker, Macon Blair, Pat Healy, Jacki Weaver, Robert Forster"	"Canada, United States"	"2017"	"TV-MA"	"95 min"	"After serving a six-year prison sentence, an ex-cop tries to rebuild his life in his hometown, but gets caught up in the fallout from his past."	"Dramas, Thrillers"
"3513"	"Dear Zindagi"	"Gauri Shinde"	"Alia Bhatt, Shah Rukh Khan, Ira Dubey, Yashaswini Dayama, Gautmik, Raj Bhansali, Rohit Saraf, Atul Kale, Kunal Kapoor, Angad Bedi, Ali Zafar, Aditya Roy Kapoor"	"India"	"2016"	"TV-14"	"149 min"	"A young cinematographer with a bright professional future and a lack of empathy learns the importance of balancing ambition with humanity."	"Comedias, Dramas, Filmes Internacionais"
"3514"	"Shepherds and Butchers"	"Oliver Schmitz"	"Steve Coogan, Andrea Riseborough, Garion Dowds, Robert Hobbs, Deon Lotz, Marcel Van Heerden, Lauren Steyn"	"South Africa, United States, Germany"	"2016"	"R"	"106 min"	"When a young prison guard commits murder in South Africa, an ardent lawyer aims to prove he was psychologically unbalanced by his role in executions."	"Dramas, Filmes Internacionais"
"3515"	"The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared"	"Felix Herngren, Måns Herngren"	"Robert Gustafsson, Jens Hultén, Caroline Boulton, Colin McFarlane, Cory Peterson, Jay Simpson, David Schaal"	"Sweden"	"2016"	"TV-MA"	"108 min"	"In need of money, an eccentric ex-spy and his younger octogenarian partner embark on an international quest for a valuable Soviet soda formula."	"Comedias, Filmes Internacionais"
"3516"	"Vir Das: Abroad Understanding"	"Marcus Raboy"	"Vir Das"	"United States"	"2017"	"TV-MA"	"66 min"	"Comedian Vir Das tackles nationalism, globalism, good food and bad politics in two cleverly crosscut performances in New York and New Delhi."	"Stand-Up Comedy"
"3517"	"Sand Castle"	"Fernando Coimbra"	"Nicholas Hoult, Logan Marshall-Green, Henry Cavill, Glen Powell, Neil Brown Jr., Beau Knapp, Sammy Sheik, Gonzalo Menendez"	"United States"	"2017"	"TV-MA"	"113 min"	"After the invasion of Iraq in 2003, a reluctant soldier's platoon is dispatched on a dangerous mission to repair a hostile village's water system."	"Ação e Aventura, Dramas, Filmes Independentes"
"3518"	"Tramps"	"Adam Leon"	"Callum Turner, Grace Van Patten, Michal Vondel, Mike Birbiglia, Margaret Colin, Louis Cancelmi, Rachel Zeiger-Haag, Dane Martinez"	"United States"	"2017"	"TV-MA"	"83 min"	"Pulled into a shady briefcase swap for different reasons, young strangers Danny and Ellie spend an eventful night together when the deal goes wrong."	"Dramas, Filmes Independentes, Romantic Movies"
"3519"	"Lucas Brothers: On Drugs"	"Jay Chapman"	"Keith Lucas, Kenny Lucas"	"United States"	"2017"	"TV-MA"	"50 min"	"Deadpan twin comics Keith and Kenny Lucas take the stage in Brooklyn with a set that touches on drugs, race, Deion Sanders, teachers and O.J. Simpson."	"Stand-Up Comedy"
"3520"	"Bibi & Tina"	"Detlev Buck"	"Lina Larissa Strahl, Lisa-Marie Koroll, Louis Held, Ruby O. Fee, Charly Hübner, Michael Maertens, Winnie Böwe, Fabian Buch, Max von der Groeben, Martin Seifert"	"Germany"	"2014"	"TV-PG"	"97 min"	"Teen witch Bibi and horse-loving Tina face trouble when a posh girl flirts with Tina's boyfriend and a crook sets his greedy eyes on a promising foal."	"Filmes familiares e infantis, Musicais"
"3521"	"Bibi & Tina II"	"Detlev Buck"	"Lina Larissa Strahl, Lisa-Marie Koroll, Louis Held, Emilio Moutaoukkil, Michael Maertens, Martin Seifert, Winnie Böwe, Fabian Buch, Mavie Hörbiger, Olli Schulz, Charly Hübner, Milan Peschel"	"Germany"	"2014"	"TV-14"	"105 min"	"When robbers hit Falkenstein castle, teen witch Bibi and pal Tina hunt for the crooks, then devise a plan to save the neighbors' failing ranch."	"Filmes familiares e infantis, Musicais"
"3522"	"Bibi & Tina: Girls Versus Boys"	"Detlev Buck"	"Lina Larissa Strahl, Lisa-Marie Koroll, Tilman Pörzgen, Philipp Laude, Charly Hübner, Louis Held, Benjamin Lutzke, Max von der Groeben, Kostja Ullmann, Michael Maertens, Fabian Buch, Winnie Böwe"	"Germany"	"2016"	"TV-14"	"107 min"	"At summer camp, young Bibi and her friends are pitted against the boys in a treasure hunt. But what's a witch to do when she loses her powers?"	"Filmes familiares e infantis, Musicais"
"3523"	"Slam"	"Andrea Molaioli"	"Ludovico Tersigni, Jasmine Trinca, Luca Marinelli, Barbara Ramella, Gianluca Broccatelli, Pietro Ragusa, Fiorenza Tessari"	"Italy"	"2017"	"TV-MA"	"99 min"	"Teen father-to-be Sam imagines his future as a young parent and finds a surprising mentor while reading about his idol, pro skateboarder Tony Hawk."	"Comedias, Dramas, Filmes Internacionais"
"3524"	"The Wedding Party"	"Kemi Adetiba"	"Adesua Etomi, Banky Wellington, Richard Mofe-Damijo, Sola Sobowale, Iretiola Doyle, Alibaba Akporobome, Zainab Balogun, Beverly Naya, Enyinna Nwigwe"	"Nigeria"	"2016"	"TV-14"	"101 min"	"As their big day arrives, a couple's lavish wedding plans turn into a nightmare of exes, fighting parents and uninvited guests."	"Comedias, Dramas, Filmes Internacionais"
"3525"	"Arctic Heart"	"Marie Madinier"	"Charlotte Le Bon, Guillaume Canet, Anne Le Ny, Patrick d'Assumçao, Damien Chapelle, Xavier Beauvois, Vincent Launay-Franceschini"	"France, Belgium"	"2016"	"TV-14"	"81 min"	"Madly in love with a brilliant scientist studying an immunizing protein produced by penguins, a timid med student offers her body to his research."	"Dramas, Filmes Internacionais, Romantic Movies"
"3526"	"Our Lovers"	"Miguel Ángel Lamata"	"Eduardo Noriega, Michelle Jenner, Fele Martínez, Amaia Salamanca"	"Spain"	"2016"	"TV-MA"	"92 min"	"A love-challenged man and a woman he meets at a bookshop bar begin dating, but only at the shop – and without knowing anything about each other."	"Comedias, Dramas, Filmes Internacionais"
"3527"	"Sandy Wexler"	"Steven Brill"	"Adam Sandler, Jennifer Hudson, Kevin James, Terry Crews, Rob Schneider, Colin Quinn, Nick Swardson, Lamorne Morris, Arsenio Hall, Jamie Gray Hyder"	"United States"	"2017"	"TV-14"	"131 min"	"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off."	"Comedias"
"3528"	"Macho"	"Antonio Serrano"	"Miguel Rodarte, Cecilia Suárez, Aislinn Derbez, Renato López, Mario Iván Martínez, Valeria Vera, David Zorrilla, Ana de la Reguera, Manolo Cardona, Ofelia Medina"	"Mexico"	"2016"	"TV-MA"	"101 min"	"A famous designer who's always pretended to be gay finds himself in crisis mode when threatened with exposure as the woman-chasing straight guy he is."	"Comedias, Filmes Internacionais, Filmes LGBTQ"
"3529"	"Kevin Hart: What Now?"	"Leslie Small"	"Kevin Hart, Don Cheadle, Halle Berry, Ed Helms, David Meunier"	"United States"	"2016"	"R"	"96 min"	"Frenetic comic Kevin Hart hits Philadelphia and dishes on suburban wildlife, jean shorts and the fine art of getting even with a 7-year-old."	"Stand-Up Comedy"
"3530"	"Frat Star"	"Grant S. Johnson, Ippsie Jones"	"Connor Lawrence, Justin Mark, Cathryn Dylan, Chris Elliott, Tyler Weaks, Max Sheldon, Austin Ramsey, Peter O'Connor, Nicole Balsam, Kaitlin Mesh"	"United States"	"2017"	"TV-MA"	"85 min"	"A freshman uninterested in joining a fraternity is convinced to pledge by a rich roommate who introduces him to a world darker than he ever dreamed."	"Comedias"
"3531"	"The Lighthouse of the Orcas"	"Gerardo Olivares"	"Maribel Verdú, Joaquín Furriel, Joaquín Rapalini"	"Spain, Argentina"	"2016"	"TV-MA"	"110 min"	"A mother travels to Patagonia with her autistic son with the hopes that a ranger and a pod of wild orcas can help him find an emotional connection."	"Dramas, Filmes Internacionais, Romantic Movies"
"3532"	"Win It All"	"Joe Swanberg"	"Jake Johnson, Aislinn Derbez, Joe Lo Truglio, Keegan-Michael Key, Nicky Excitement"	"United States"	"2017"	"TV-MA"	"89 min"	"After losing $50,000 that wasn't his, gambling addict Eddie starts to rebuild his life. But an unwelcome surprise pushes him toward his old ways."	"Comedias, Filmes Independentes, Romantic Movies"
"3533"	"Couples Counseling"	"Alexandre Reinecke"	"Zezé Polessa, Daniel Dantas, Paulo Vilhena, Fernanda Paes Leme, Juliana Mesquita"	"Brazil"	"2016"	"TV-MA"	"88 min"	"A seasoned couples therapist comes to realize she might need help with her own marriage after meeting a new pair of young clients."	"Comedias, Dramas, Filmes Internacionais"
"3534"	"Deuces"	"Jamal Hill"	"Larenz Tate, Meagan Good, Lance Gross, Antonique Smith, La La Anthony, Rick Gonzalez, Rotimi, Andra Fuller"	"United States"	"2016"	"TV-MA"	"88 min"	"Assigned to go undercover to take down an impenetrable crime ring, a detective finds himself falling under the sway of its enigmatic leader."	"Dramas"
"3535"	"Elaan"	"K. Ramanlal"	"Vinod Mehra, Rekha, Vinod Khanna, Helen, Madan Puri, Brahm Bhardwaj"	"India"	"1971"	"TV-14"	"143 min"	"Journalist Naresh is hired to probe illegal activities on an island. When he's captured, a fellow prisoner gives him a ring with magic powers."	"Ação e Aventura, Cult, Filmes Internacionais"
"3536"	"Five Nights in Maine"	"Maris Curran"	"David Oyelowo, Dianne Wiest, Rosie Perez, Teyonah Parris, Hani Furstenberg, Bill Raymond"	"United States"	"2015"	"TV-MA"	"83 min"	"After his wife dies in a car accident, a grief-stricken man visits his estranged mother-in-law in Maine, where they try to help each other heal."	"Dramas, Filmes Independentes"
"3537"	"Killa"	"Avinash Arun"	"Amruta Subhash, Archit Deodhar, Parth Bhalerao, Gaurish Gawade, Atharva Upasni, Swandand Raikar, Shrikant Yadav, Umesh Jagtap, Shivalati Bokil, Jui Kahate"	"India"	"2014"	"TV-14"	"107 min"	"Growing up poses challenges for Chinu when he moves from city to country and encounters a youth culture far different from what he's used to."	"Dramas, Filmes Internacionais"
"3538"	"Life 2.0"	"Jason Spingarn-Koff"		"United States"	"2010"	"TV-MA"	"99 min"	"Computer users across the globe log onto the virtual world of Second Life. But some users' lives are dramatically consumed by this alternate reality."	"Documentarios"
"3539"	"Salaakhen"	"A. Salaam"	"Shashi Kapoor, Sulakshana Pandit, Mehmood, Sudhir, Anjana Mumtaz, Sajjan, M. Rajan, Mac Mohan, Amrish Puri, Ramesh Deo"	"India"	"1975"	"TV-14"	"134 min"	"Two close childhood friends take drastically different paths in life, but meet by chance years later and fall in love, unaware of their past bond."	"Ação e Aventura, Filmes Internacionais, Musicais"
"3540"	"Skins"	"Eduardo Casanova"	"Ana Polvorosa, Candela Peña, Macarena Gómez, Carmen Machi, Jon Kortajarena, Secun de la Rosa, Itziar Castro, Antonio Durán 'Morris', Joaquín Climent, Ana María Ayala, Eloi Costa"	"Spain"	"2017"	"TV-MA"	"78 min"	"Deformed, disfigured characters must find a way to deal with society shunning their differences in this darkly comic social drama."	"Dramas, Filmes Internacionais"
"3541"	"The Tenth Man"	"Daniel Burman"	"Alan Sabbagh, Julieta Zylberberg, Usher Barilka, Elvira Onetto, Adrián Stoppelman, Dan Breitman, Elisa Carricajo"	"Argentina"	"2016"	"TV-MA"	"81 min"	"After spending much of his adult life in New York, an affable economist returns home to Buenos Aires and tries to reconnect with his aloof father."	"Dramas, Filmes Internacionais"
"3542"	"Toro"	"Kike Maíllo"	"Mario Casas, Luis Tosar, José Sacristán, Claudia Canal, José Manuel Poga, Ingrid García Jonsson, Luichi Macías"	"Spain"	"2016"	"TV-MA"	"106 min"	"Ex-con Toro's brother and former partner in crime makes a desperate plea for help that may put Toro back behind bars ... if he survives at all."	"Dramas, Filmes Internacionais, Thrillers"
"3543"	"Bridget Christie: Stand Up for Her"		"Bridget Christie"	"United Kingdom"	"2016"	"TV-MA"	"51 min"	"Performing stand-up for a packed house in London's Hoxton Hall, comedian Bridget Christie dives into the politics of gender, sex and equality."	"Stand-Up Comedy"
